"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "HTML", "XML", "SCSS", "comment", "blank", "total"
"e:\Coding\tcg-database-base\tcg-database\README.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"e:\Coding\tcg-database-base\tcg-database\components\CardSearch\CardSearch.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\components\CardSearch\CardSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 36, 7, 54
"e:\Coding\tcg-database-base\tcg-database\components\ElementBar\ElementBar.css", "CSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"e:\Coding\tcg-database-base\tcg-database\components\ElementBar\ElementBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 3, 52
"e:\Coding\tcg-database-base\tcg-database\components\NavBar\NavBar.css", "CSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"e:\Coding\tcg-database-base\tcg-database\components\NavBar\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"e:\Coding\tcg-database-base\tcg-database\components\ToggleDarkMode\ToggleDarkMode.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 85
"e:\Coding\tcg-database-base\tcg-database\components\ToggleDarkMode\ToggleDarkMode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"e:\Coding\tcg-database-base\tcg-database\components\ToggleTextSwitch\ToggleTextSwitch.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 85
"e:\Coding\tcg-database-base\tcg-database\components\ToggleTextSwitch\ToggleTextSwitch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"e:\Coding\tcg-database-base\tcg-database\config\database.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"e:\Coding\tcg-database-base\tcg-database\controllers\api\cards.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"e:\Coding\tcg-database-base\tcg-database\controllers\api\sets.js", "JavaScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"e:\Coding\tcg-database-base\tcg-database\package-lock.json", "JSON", 17577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17578
"e:\Coding\tcg-database-base\tcg-database\package.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"e:\Coding\tcg-database-base\tcg-database\pages\AllCardsPage\AllCardsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\AllCardsPage\AllCardsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 3, 8, 102
"e:\Coding\tcg-database-base\tcg-database\pages\AltArtsPage\AltArtsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\AltArtsPage\AltArtsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 7, 8, 72
"e:\Coding\tcg-database-base\tcg-database\pages\ArcanesPage\ArcanesPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\ArcanesPage\ArcanesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\ChampionsPage\ChampionsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\ChampionsPage\ChampionsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 7, 8, 106
"e:\Coding\tcg-database-base\tcg-database\pages\ContentCreatorsPage\ContentCreatorsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"e:\Coding\tcg-database-base\tcg-database\pages\ContentCreatorsPage\ContentCreatorsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 2, 53
"e:\Coding\tcg-database-base\tcg-database\pages\CruxsPage\CruxsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\CruxsPage\CruxsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\DomainsPage\DomainsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\DomainsPage\DomainsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\FiresPage\FiresPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\FiresPage\FiresPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\FrontPage\FrontPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\Coding\tcg-database-base\tcg-database\pages\LuxemsPage\LuxemsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\LuxemsPage\LuxemsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\MaterialsPage\MaterialsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\MaterialsPage\MaterialsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\NoPage\NoPage.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\Coding\tcg-database-base\tcg-database\pages\NoPage\NoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\Coding\tcg-database-base\tcg-database\pages\NullsPage\NullsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\pages\NullsPage\NullsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"e:\Coding\tcg-database-base\tcg-database\pages\SetPage\SetPage.css", "CSS", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 3, 23
